time_day,TCE_zone1_mid_mg_L,TCE_zone2_mid_mg_L,TCE_PRB_inlet_mg_L,cDCE_PRB_inlet_mg_L,VC_PRB_inlet_mg_L,TCE_PRB_mid_mg_L,cDCE_PRB_mid_mg_L,VC_PRB_mid_mg_L,source_mass_mg,source_active,pore_velocity_m_day
3.5,13.5169657387025,0,0,0,0,0,0,0,982530536.632616,1,0.147631578947368
3.55,13.5671385770387,0,0,0,0,0,0,0,982281300.385099,1,0.147631578947368
3.6,13.6173094586342,0,0,0,0,0,0,0,982032073.30552,1,0.147631578947368
3.65,13.6674783835653,0,0,0,0,0,0,0,981782855.391473,1,0.147631578947368
3.7,13.7176453519083,0,0,0,0,0,0,0,981533646.640549,1,0.147631578947368
3.75,13.7678103637396,0,0,0,0,0,0,0,981284447.050344,1,0.147631578947368
3.8,13.8179734191354,0,0,0,0,0,0,0,981035256.618448,1,0.147631578947368
3.85,13.8681345181721,0,0,0,0,0,0,0,980786075.342457,1,0.147631578947368
3.9,13.9182936609259,0,0,0,0,0,0,0,980536903.219963,1,0.147631578947368
3.95,13.9684508474731,0,0,0,0,0,0,0,980287740.24856,1,0.147631578947368
4,14.0186060778901,0,0,0,0,0,0,0,980038586.425842,1,0.147631578947368
4.05,14.068759352253,0,0,0,0,0,0,0,979789441.749404,1,0.147631578947368
4.1,14.1189106706383,0,0,0,0,0,0,0,979540306.21684,1,0.147631578947368
4.15,14.1690600331221,0,0,0,0,0,0,0,979291179.825743,1,0.147631578947368
4.2,14.2192074397808,0,0,0,0,0,0,0,979042062.573709,1,0.147631578947368
4.25,14.2693528906907,0,0,0,0,0,0,0,978792954.458332,1,0.147631578947368
4.3,14.3194963859279,0,0,0,0,0,0,0,978543855.477208,1,0.147631578947368
4.35,14.3696379255689,0,0,0,0,0,0,0,978294765.627931,1,0.147631578947368
4.4,14.4197775096898,0,0,0,0,0,0,0,978045684.908098,1,0.147631578947368
4.45,14.4699151383669,0,0,0,0,0,0,0,977796613.315302,1,0.147631578947368
4.5,14.5200508116765,0,0,0,0,0,0,0,977547550.847141,1,0.147631578947368
4.55,14.5701845296949,0,0,0,0,0,0,0,977298497.501209,1,0.147631578947368
4.6,14.6203162924982,0,0,0,0,0,0,0,977049453.275104,1,0.147631578947368
4.65,14.6704461001628,0,0,0,0,0,0,0,976800418.16642,1,0.147631578947368
4.7,14.7205739527649,0,0,0,0,0,0,0,976551392.172755,1,0.147631578947368
4.75,14.7706998503807,0,0,0,0,0,0,0,976302375.291705,1,0.147631578947368
4.8,14.8208237930866,0,0,0,0,0,0,0,976053367.520866,1,0.147631578947368
4.85,14.8709457809586,0,0,0,0,0,0,0,975804368.857836,1,0.147631578947368
4.9,14.9210658140732,0,0,0,0,0,0,0,975555379.300212,1,0.147631578947368
4.95,14.9711838925064,0,0,0,0,0,0,0,975306398.84559,1,0.147631578947368
5,15.0213000163346,0,0,0,0,0,0,0,975057427.491568,1,0.147631578947368
5.05,15.071414185634,0,0,0,0,0,0,0,974808465.235745,1,0.147631578947368
5.1,15.1215264004807,0,0,0,0,0,0,0,974559512.075717,1,0.147631578947368
5.15,15.1716366609511,0,0,0,0,0,0,0,974310568.009082,1,0.147631578947368
5.2,15.2217449671213,0,0,0,0,0,0,0,974061633.033439,1,0.147631578947368
5.25,15.2718513190676,0,0,0,0,0,0,0,973812707.146386,1,0.147631578947368
5.3,15.3219557168662,0,0,0,0,0,0,0,973563790.345521,1,0.147631578947368
5.35,15.3720581605932,0,0,0,0,0,0,0,973314882.628443,1,0.147631578947368
5.4,15.422158650325,0,0,0,0,0,0,0,973065983.99275,1,0.147631578947368
5.45,15.4722571861376,0,0,0,0,0,0,0,972817094.436043,1,0.147631578947368
5.5,15.5223537681073,0,0,0,0,0,0,0,972568213.955919,1,0.147631578947368
5.55,15.5724483963104,0,0,0,0,0,0,0,972319342.549978,1,0.147631578947368
5.6,15.6225410708229,0,0,0,0,0,0,0,972070480.215819,1,0.147631578947368
5.65,15.6726317917212,0,0,0,0,0,0,0,971821626.951043,1,0.147631578947368
5.7,15.7227205590813,0,0,0,0,0,0,0,971572782.753249,1,0.147631578947368
5.75,15.7728073729795,0,0,0,0,0,0,0,971323947.620037,1,0.147631578947368
5.8,15.8228922334919,0,0,0,0,0,0,0,971075121.549007,1,0.147631578947368
5.85,15.8729751406948,0,0,0,0,0,0,0,970826304.53776,1,0.147631578947368
5.9,15.9230560946643,0,0,0,0,0,0,0,970577496.583896,1,0.147631578947368
5.95,15.9731350954766,0,0,0,0,0,0,0,970328697.685016,1,0.147631578947368
6,16.0232121432079,0,0,0,0,0,0,0,970079907.83872,1,0.147631578947368
6.05,16.0732872379343,0,0,0,0,0,0,0,969831127.04261,1,0.147631578947368
6.1,16.123360379732,0,0,0,0,0,0,0,969582355.294287,1,0.147631578947368
6.15,16.1734315686772,0,0,0,0,0,0,0,969333592.591352,1,0.147631578947368
6.2,16.2235008048461,0,0,0,0,0,0,0,969084838.931408,1,0.147631578947368
6.25,16.2735680883147,0,0,0,0,0,0,0,968836094.312055,1,0.147631578947368
6.3,16.3236334191592,0,0,0,0,0,0,0,968587358.730895,1,0.147631578947368
6.35,16.3736967974559,0,0,0,0,0,0,0,968338632.185531,1,0.147631578947368
6.4,16.4237582232808,0,0,0,0,0,0,0,968089914.673565,1,0.147631578947368
6.45,16.4738176967101,0,0,0,0,0,0,0,967841206.192599,1,0.147631578947368
6.5,16.5238752178199,0,0,0,0,0,0,0,967592506.740236,1,0.147631578947368
6.55,16.5739307866864,0,0,0,0,0,0,0,967343816.314079,1,0.147631578947368
6.6,16.6239844033857,0,0,0,0,0,0,0,967095134.91173,1,0.147631578947368
6.65,16.674036067994,0,0,0,0,0,0,0,966846462.530793,1,0.147631578947368
6.7,16.7240857805873,0,0,0,0,0,0,0,966597799.168872,1,0.147631578947368
6.75,16.7741335412419,0,0,0,0,0,0,0,966349144.823568,1,0.147631578947368
6.8,16.8241793500338,0,0,0,0,0,0,0,966100499.492487,1,0.147631578947368
6.85,16.8742232070391,0,0,0,0,0,0,0,965851863.173232,1,0.147631578947368
6.9,16.924265112334,0,0,0,0,0,0,0,965603235.863407,1,0.147631578947368
6.95,16.9743050659947,0,0,0,0,0,0,0,965354617.560616,1,0.147631578947368
7,17.0243430680971,0,0,0,0,0,0,0,965106008.262463,1,0.147631578947368
7.05,17.0743791187174,0,0,0,0,0,0,0,964857407.966554,1,0.147631578947368
7.1,17.1244132179318,0,0,0,0,0,0,0,964608816.670492,1,0.147631578947368
7.15,17.1744453658163,0,0,0,0,0,0,0,964360234.371882,1,0.147631578947368
7.2,17.224475562447,0,0,0,0,0,0,0,964111661.06833,1,0.147631578947368
7.25,17.2745038079001,0,0,0,0,0,0,0,963863096.757441,1,0.147631578947368
7.3,17.3245301022516,0,0,0,0,0,0,0,963614541.43682,1,0.147631578947368
7.35,17.3745544455776,0,0,0,0,0,0,0,963365995.104073,1,0.147631578947368
7.4,17.4245768379542,0,0,0,0,0,0,0,963117457.756805,1,0.147631578947368
7.45,17.4745972794576,0,0,0,0,0,0,0,962868929.392622,1,0.147631578947368
7.5,17.5246157701637,0,0,0,0,0,0,0,962620410.009131,1,0.147631578947368
7.55,17.5746323101486,0,0,0,0,0,0,0,962371899.603937,1,0.147631578947368
7.6,17.6246468994885,0,0,0,0,0,0,0,962123398.174647,1,0.147631578947368
7.65,17.6746595382594,0,0,0,0,0,0,0,961874905.718868,1,0.147631578947368
7.7,17.7246702265374,0,0,0,0,0,0,0,961626422.234206,1,0.147631578947368
7.75,17.7746789643986,0,0,0,0,0,0,0,961377947.718269,1,0.147631578947368
7.8,17.824685751919,0,0,0,0,0,0,0,961129482.168662,1,0.147631578947368
7.85,17.8746905891747,0,0,0,0,0,0,0,960881025.582995,1,0.147631578947368
7.9,17.9246934762417,0,0,0,0,0,0,0,960632577.958873,1,0.147631578947368
7.95,17.9746944131961,0,0,0,0,0,0,0,960384139.293906,1,0.147631578947368
8,18.024693400114,0,0,0,0,0,0,0,960135709.5857,1,0.147631578947368
8.05,18.0746904370714,0,0,0,0,0,0,0,959887288.831863,1,0.147631578947368
8.1,18.1246855241443,0,0,0,0,0,0,0,959638877.030004,1,0.147631578947368
8.15,18.1746786614089,0,0,0,0,0,0,0,959390474.177731,1,0.147631578947368
8.2,18.2246698489411,0,0,0,0,0,0,0,959142080.272652,1,0.147631578947368
8.25,18.274659086817,0,0,0,0,0,0,0,958893695.312377,1,0.147631578947368
8.3,18.3246463751126,0,0,0,0,0,0,0,958645319.294513,1,0.147631578947368
8.35,18.374631713904,0,0,0,0,0,0,0,958396952.216671,1,0.147631578947368
8.4,18.4246151032671,0,0,0,0,0,0,0,958148594.076458,1,0.147631578947368
8.45,18.4745965432781,0,0,0,0,0,0,0,957900244.871485,1,0.147631578947368
8.5,18.5245760340129,0,0,0,0,0,0,0,957651904.599361,1,0.147631578947368
8.55,18.5745535755476,0,0,0,0,0,0,0,957403573.257696,1,0.147631578947368
8.6,18.6245291679582,0,0,0,0,0,0,0,957155250.8441,1,0.147631578947368
8.65,18.6745028113206,0,0,0,0,0,0,0,956906937.356182,1,0.147631578947368
8.7,18.724474505711,0,0,0,0,0,0,0,956658632.791552,1,0.147631578947368
8.75,18.7744442512052,0,0,0,0,0,0,0,956410337.147822,1,0.147631578947368
8.8,18.8244120478794,0,0,0,0,0,0,0,956162050.422602,1,0.147631578947368
8.85,18.8743778958096,0,0,0,0,0,0,0,955913772.613503,1,0.147631578947368
8.9,18.9243417950716,0,0,0,0,0,0,0,955665503.718134,1,0.147631578947368
8.95,18.9743037457416,0,0,0,0,0,0,0,955417243.734109,1,0.147631578947368
9,19.0242637478955,0,0,0,0,0,0,0,955168992.659037,1,0.147631578947368
9.05,19.0742218016094,0,0,0,0,0,0,0,954920750.49053,1,0.147631578947368
9.1,19.1241779069591,0,0,0,0,0,0,0,954672517.2262,1,0.147631578947368
9.15,19.1741320640207,0,0,0,0,0,0,0,954424292.863659,1,0.147631578947368
9.2,19.2240842728702,0,0,0,0,0,0,0,954176077.400518,1,0.147631578947368
9.25,19.2740345335836,0,0,0,0,0,0,0,953927870.83439,1,0.147631578947368
9.3,19.3239828462368,0,0,0,0,0,0,0,953679673.162887,1,0.147631578947368
9.35,19.3739292109058,0,0,0,0,0,0,0,953431484.383621,1,0.147631578947368
9.4,19.4238736276665,0,0,0,0,0,0,0,953183304.494205,1,0.147631578947368
9.45,19.4738160965951,0,0,0,0,0,0,0,952935133.492252,1,0.147631578947368
9.5,19.5237566177673,0,0,0,0,0,0,0,952686971.375375,1,0.147631578947368
9.55,19.5736951912592,0,0,0,0,0,0,0,952438818.141187,1,0.147631578947368
9.6,19.6236318171467,0,0,0,0,0,0,0,952190673.787301,1,0.147631578947368
9.65,19.6735664955059,0,0,0,0,0,0,0,951942538.311331,1,0.147631578947368
9.7,19.7234992264126,0,0,0,0,0,0,0,951694411.710891,1,0.147631578947368
9.75,19.7734300099427,0,0,0,0,0,0,0,951446293.983594,1,0.147631578947368
9.8,19.8233588461723,0,0,0,0,0,0,0,951198185.127054,1,0.147631578947368
9.85,19.8732857351773,0,0,0,0,0,0,0,950950085.138885,1,0.147631578947368
9.9,19.9232106770337,0,0,0,0,0,0,0,950701994.016703,1,0.147631578947368
9.95,19.9731336718173,0,0,0,0,0,0,0,950453911.758121,1,0.147631578947368
10,20.023054719604,0,0,0,0,0,0,0,950205838.360754,1,0.147631578947368
10.05,20.07297382047,0,0,0,0,0,0,0,949957773.822217,1,0.147631578947368
10.1,20.122890974491,0,0,0,0,0,0,0,949709718.140125,1,0.147631578947368
10.15,20.172806181743,0,0,0,0,0,0,0,949461671.312094,1,0.147631578947368
10.2,20.2227194423019,0,0,0,0,0,0,0,949213633.335738,1,0.147631578947368
10.25,20.2726307562436,0,0,0,0,0,0,0,948965604.208673,1,0.147631578947368
10.3,20.3225401236441,0,0,0,0,0,0,0,948717583.928516,1,0.147631578947368
10.35,20.3724475445793,0,0,0,0,0,0,0,948469572.492881,1,0.147631578947368
10.4,20.4223530191251,0,0,0,0,0,0,0,948221569.899386,1,0.147631578947368
10.45,20.4722565473573,0,0,0,0,0,0,0,947973576.145645,1,0.147631578947368
10.5,20.522158129352,0,0,0,0,0,0,0,947725591.229276,1,0.147631578947368
10.55,20.5720577651849,0,0,0,0,0,0,0,947477615.147896,1,0.147631578947368
10.6,20.6219554549321,0,0,0,0,0,0,0,947229647.899121,1,0.147631578947368
10.65,20.6718511986694,0,0,0,0,0,0,0,946981689.480568,1,0.147631578947368
10.7,20.7217449964726,0,0,0,0,0,0,0,946733739.889853,1,0.147631578947368
10.75,20.7716368484177,0,0,0,0,0,0,0,946485799.124596,1,0.147631578947368
10.8,20.8215267545806,0,0,0,0,0,0,0,946237867.182412,1,0.147631578947368
10.85,20.8714147150372,0,0,0,0,0,0,0,945989944.06092,1,0.147631578947368
10.9,20.9213007298633,0,0,0,0,0,0,0,945742029.757737,1,0.147631578947368
10.95,20.9711847991349,0,0,0,0,0,0,0,945494124.270482,1,0.147631578947368
11,21.0210669229277,0,0,0,0,0,0,0,945246227.596772,1,0.147631578947368
11.05,21.0709471013177,0,0,0,0,0,0,0,944998339.734226,1,0.147631578947368
11.1,21.1208253343807,0,0,0,0,0,0,0,944750460.680462,1,0.147631578947368
11.15,21.1707016221927,0,0,0,0,0,0,0,944502590.433099,1,0.147631578947368
11.2,21.2205759648294,0,0,0,0,0,0,0,944254728.989756,1,0.147631578947368
11.25,21.2704483623668,0,0,0,0,0,0,0,944006876.348053,1,0.147631578947368
11.3,21.3203188148807,0,0,0,0,0,0,0,943759032.505607,1,0.147631578947368
11.35,21.3701873224469,0,0,0,0,0,0,0,943511197.460038,1,0.147631578947368
11.4,21.4200538851413,0,0,0,0,0,0,0,943263371.208967,1,0.147631578947368
11.45,21.4699185030398,0,0,0,0,0,0,0,943015553.750012,1,0.147631578947368
11.5,21.5197811762182,0,0,0,0,0,0,0,942767745.080794,1,0.147631578947368
11.55,21.5696419047523,0,0,0,0,0,0,0,942519945.198932,1,0.147631578947368
11.6,21.619500688718,0,0,0,0,0,0,0,942272154.102048,1,0.147631578947368
11.65,21.6693575281912,0,0,0,0,0,0,0,942024371.78776,1,0.147631578947368
11.7,21.7192124232476,0,0,0,0,0,0,0,941776598.253691,1,0.147631578947368
11.75,21.7690653739631,0,0,0,0,0,0,0,941528833.49746,1,0.147631578947368
11.8,21.8189163804135,0,0,0,0,0,0,0,941281077.516688,1,0.147631578947368
11.85,21.8687654426746,0,0,0,0,0,0,0,941033330.308997,1,0.147631578947368
11.9,21.9186125608224,0,0,0,0,0,0,0,940785591.872008,1,0.147631578947368
11.95,21.9684577349325,0,0,0,0,0,0,0,940537862.203342,1,0.147631578947368
12,22.0183009650808,0,0,0,0,0,0,0,940290141.30062,1,0.147631578947368
12.05,22.0681422513432,0,0,0,0,0,0,0,940042429.161466,1,0.147631578947368
12.1,22.1179815937954,0,0,0,0,0,0,0,939794725.7835,1,0.147631578947368
12.15,22.1678189925132,0,0,0,0,0,0,0,939547031.164345,1,0.147631578947368
12.2,22.2176544475725,0,0,0,0,0,0,0,939299345.301622,1,0.147631578947368
12.25,22.2674879590491,0,0,0,0,0,0,0,939051668.192956,1,0.147631578947368
12.3,22.3173195270187,0,0,0,0,0,0,0,938803999.835967,1,0.147631578947368
12.35,22.3671491515571,0,0,0,0,0,0,0,938556340.228279,1,0.147631578947368
12.4,22.4169768327402,0,0,0,0,0,0,0,938308689.367515,1,0.147631578947368
12.45,22.4668025706437,0,0,0,0,0,0,0,938061047.251298,1,0.147631578947368
12.5,22.5166263653435,0,0,0,0,0,0,0,937813413.877252,1,0.147631578947368
12.55,22.5664482169152,0,0,0,0,0,0,0,937565789.242999,1,0.147631578947368
12.6,22.6162681254348,0,0,0,0,0,0,0,937318173.346164,1,0.147631578947368
12.65,22.6660860909779,0,0,0,0,0,0,0,937070566.18437,1,0.147631578947368
12.7,22.7159021136203,0,0,0,0,0,0,0,936822967.755241,1,0.147631578947368
12.75,22.7657161934379,0,0,0,0,0,0,0,936575378.056402,1,0.147631578947368
12.8,22.8155283305063,0,0,0,0,0,0,0,936327797.085477,1,0.147631578947368
12.85,22.8653385249014,0,0,0,0,0,0,0,936080224.840091,1,0.147631578947368
12.9,22.915146776699,0,0,0,0,0,0,0,935832661.317867,1,0.147631578947368
12.95,22.9649530859747,0,0,0,0,0,0,0,935585106.516432,1,0.147631578947368
13,23.0147574528043,0,0,0,0,0,0,0,935337560.433409,1,0.147631578947368
13.05,23.0645598772637,0,0,0,0,0,0,0,935090023.066425,1,0.147631578947368
13.1,23.1143603594285,0,0,0,0,0,0,0,934842494.413105,1,0.147631578947368
13.15,23.1641588993744,0,0,0,0,0,0,0,934594974.471074,1,0.147631578947368
13.2,23.2139554971774,0,0,0,0,0,0,0,934347463.237957,1,0.147631578947368
13.25,23.263750152913,0,0,0,0,0,0,0,934099960.711382,1,0.147631578947368
13.3,23.313542866657,0,0,0,0,0,0,0,933852466.888973,1,0.147631578947368
13.35,23.3633336384852,0,0,0,0,0,0,0,933604981.768358,1,0.147631578947368
13.4,23.4131224684733,0,0,0,0,0,0,0,933357505.347162,1,0.147631578947368
13.45,23.462909356697,0,0,0,0,0,0,0,933110037.623013,1,0.147631578947368
13.5,23.5126943032321,0,0,0,0,0,0,0,932862578.593536,1,0.147631578947368
13.55,23.5624773081543,0,0,0,0,0,0,0,932615128.25636,1,0.147631578947368
13.6,23.6122583715393,0,0,0,0,0,0,0,932367686.60911,1,0.147631578947368
13.65,23.6620374934628,0,0,0,0,0,0,0,932120253.649415,1,0.147631578947368
13.7,23.7118146740005,0,0,0,0,0,0,0,931872829.374901,1,0.147631578947368
13.75,23.7615899132283,0,0,0,0,0,0,0,931625413.783197,1,0.147631578947368
13.8,23.8113632112216,0,0,0,0,0,0,0,931378006.87193,1,0.147631578947368
13.85,23.8611345680564,0,0,0,0,0,0,0,931130608.638728,1,0.147631578947368
13.9,23.9109039838082,0,0,0,0,0,0,0,930883219.081219,1,0.147631578947368
13.95,23.9606714585529,0,0,0,0,0,0,0,930635838.197032,1,0.147631578947368
14,24.010436992366,0,0,0,0,0,0,0,930388465.983795,1,0.147631578947368
14.05,24.0602005853233,0,0,0,0,0,0,0,930141102.439136,1,0.147631578947368
14.1,24.1099622375005,0,0,0,0,0,0,0,929893747.560685,1,0.147631578947368
14.15,24.1597219489732,0,0,0,0,0,0,0,929646401.346071,1,0.147631578947368
14.2,24.2094797198172,0,0,0,0,0,0,0,929399063.792922,1,0.147631578947368
14.25,24.2592355501081,0,0,0,0,0,0,0,929151734.898869,1,0.147631578947368
14.3,24.3089894399217,0,0,0,0,0,0,0,928904414.66154,1,0.147631578947368
14.35,24.3587413893335,0,0,0,0,0,0,0,928657103.078565,1,0.147631578947368
14.4,24.4084913984193,0,0,0,0,0,0,0,928409800.147574,1,0.147631578947368
14.45,24.4582394672548,0,0,0,0,0,0,0,928162505.866198,1,0.147631578947368
14.5,24.5079855959155,0,0,0,0,0,0,0,927915220.232065,1,0.147631578947368
14.55,24.5577297844773,0,0,0,0,0,0,0,927667943.242808,1,0.147631578947368
14.6,24.6074720330157,0,0,0,0,0,0,0,927420674.896056,1,0.147631578947368
14.65,24.6572123416064,0,0,0,0,0,0,0,927173415.189439,1,0.147631578947368
14.7,24.7069507103251,0,0,0,0,0,0,0,926926164.12059,1,0.147631578947368
