time_day,TCE_zone1_x17_5_mg_L,TCE_zone2_x2_mg_L,cDCE_zone2_x2_mg_L,VC_zone2_x2_mg_L,TCE_zone2_x15_mg_L,cDCE_zone2_x15_mg_L,VC_zone2_x15_mg_L,TCE_zone2_x28_mg_L,cDCE_zone2_x28_mg_L,VC_zone2_x28_mg_L,source_mass_mg,source_active
2.01,12.0209010463521,0,0,0,0,0,0,0,0,0,989962070.18468,1
2.04,12.0510397572676,0,0,0,0,0,0,0,0,0,989812363.838428,1
2.07,12.0811777629373,0,0,0,0,0,0,0,0,0,989662660.81849,1
2.1,12.1113150633776,0,0,0,0,0,0,0,0,0,989512961.124343,1
2.13,12.1414516586051,0,0,0,0,0,0,0,0,0,989363264.755466,1
2.16,12.1715875486363,0,0,0,0,0,0,0,0,0,989213571.711339,1
2.19,12.2017227334877,0,0,0,0,0,0,0,0,0,989063881.99144,1
2.22,12.2318572131757,0,0,0,0,0,0,0,0,0,988914195.595248,1
2.25,12.2619909877169,0,0,0,0,0,0,0,0,0,988764512.522242,1
2.28,12.2921240571278,0,0,0,0,0,0,0,0,0,988614832.771902,1
2.31,12.3222564214249,0,0,0,0,0,0,0,0,0,988465156.343706,1
2.34,12.3523880806246,0,0,0,0,0,0,0,0,0,988315483.237134,1
2.37,12.3825190347436,0,0,0,0,0,0,0,0,0,988165813.451664,1
2.4,12.4126492837981,0,0,0,0,0,0,0,0,0,988016146.986776,1
2.43,12.4427788278049,0,0,0,0,0,0,0,0,0,987866483.841949,1
2.46,12.4729076667803,0,0,0,0,0,0,0,0,0,987716824.016662,1
2.49,12.5030358007409,0,0,0,0,0,0,0,0,0,987567167.510395,1
2.52,12.5331632297032,0,0,0,0,0,0,0,0,0,987417514.322626,1
2.55,12.5632899536836,0,0,0,0,0,0,0,0,0,987267864.452834,1
2.58,12.5934159726987,0,0,0,0,0,0,0,0,0,987118217.9005,1
2.61,12.6235412867649,0,0,0,0,0,0,0,0,0,986968574.665102,1
2.64,12.6536658958988,0,0,0,0,0,0,0,0,0,986818934.746119,1
2.67,12.6837898001169,0,0,0,0,0,0,0,0,0,986669298.143031,1
2.7,12.7139129994355,0,0,0,0,0,0,0,0,0,986519664.855318,1
2.73,12.7440354938714,0,0,0,0,0,0,0,0,0,986370034.882458,1
2.76,12.7741572834408,0,0,0,0,0,0,0,0,0,986220408.223932,1
2.79,12.8042783681604,0,0,0,0,0,0,0,0,0,986070784.879218,1
2.82,12.8343987480466,0,0,0,0,0,0,0,0,0,985921164.847796,1
2.85,12.8645184231158,0,0,0,0,0,0,0,0,0,985771548.129145,1
2.88,12.8946373933848,0,0,0,0,0,0,0,0,0,985621934.722745,1
2.91,12.9247556588697,0,0,0,0,0,0,0,0,0,985472324.628076,1
2.94,12.9548732195873,0,0,0,0,0,0,0,0,0,985322717.844616,1
2.97,12.984990075554,0,0,0,0,0,0,0,0,0,985173114.371847,1
3,13.0151062267862,0,0,0,0,0,0,0,0,0,985023514.209246,1
3.03,13.0452216733005,0,0,0,0,0,0,0,0,0,984873917.356294,1
3.06,13.0753364151134,0,0,0,0,0,0,0,0,0,984724323.81247,1
3.09,13.1054504522413,0,0,0,0,0,0,0,0,0,984574733.577254,1
3.12,13.1355637847007,0,0,0,0,0,0,0,0,0,984425146.650126,1
3.15,13.1656764125081,0,0,0,0,0,0,0,0,0,984275563.030566,1
3.18,13.1957883356801,0,0,0,0,0,0,0,0,0,984125982.718052,1
3.21,13.225899554233,0,0,0,0,0,0,0,0,0,983976405.712065,1
3.24,13.2560100681834,0,0,0,0,0,0,0,0,0,983826832.012085,1
3.27,13.2861198775478,0,0,0,0,0,0,0,0,0,983677261.617591,1
3.3,13.3162289823427,0,0,0,0,0,0,0,0,0,983527694.528063,1
3.33,13.3463373825845,0,0,0,0,0,0,0,0,0,983378130.742982,1
3.36,13.3764450782898,0,0,0,0,0,0,0,0,0,983228570.261826,1
3.39,13.4065520694749,0,0,0,0,0,0,0,0,0,983079013.084076,1
3.42,13.4366583561565,0,0,0,0,0,0,0,0,0,982929459.209211,1
3.45,13.466763938351,0,0,0,0,0,0,0,0,0,982779908.636712,1
3.48,13.4968688160748,0,0,0,0,0,0,0,0,0,982630361.366059,1
3.51,13.5269729893445,0,0,0,0,0,0,0,0,0,982480817.396731,1
3.54,13.5570764581766,0,0,0,0,0,0,0,0,0,982331276.728209,1
3.57,13.5871792225875,0,0,0,0,0,0,0,0,0,982181739.359972,1
3.6,13.6172812825936,0,0,0,0,0,0,0,0,0,982032205.2915,1
3.63,13.6473826382116,0,0,0,0,0,0,0,0,0,981882674.522274,1
3.66,13.6774832894579,0,0,0,0,0,0,0,0,0,981733147.051774,1
3.69,13.7075832363489,0,0,0,0,0,0,0,0,0,981583622.879479,1
3.72,13.7376824789012,0,0,0,0,0,0,0,0,0,981434102.00487,1
3.75,13.7677810171312,0,0,0,0,0,0,0,0,0,981284584.427427,1
3.78,13.7978788510554,0,0,0,0,0,0,0,0,0,981135070.146631,1
3.81,13.8279759806903,0,0,0,0,0,0,0,0,0,980985559.16196,1
3.84,13.8580724060523,0,0,0,0,0,0,0,0,0,980836051.472896,1
3.87,13.888168127158,0,0,0,0,0,0,0,0,0,980686547.07892,1
3.9,13.9182631440239,0,0,0,0,0,0,0,0,0,980537045.97951,1
3.93,13.9483574566663,0,0,0,0,0,0,0,0,0,980387548.174147,1
